,target
3860,0
3871,0
3883,0
3884,0
3889,0
3890,0
3891,1
3894,0
3899,0
3908,0
3924,0
3928,0
3932,0
3933,0
3974,0
3976,0
3981,0
3996,0
3998,0
4007,0
4009,1
4016,0
4019,1
4020,0
4022,1
4025,0
4030,0
4033,1
4039,1
4040,1
4047,1
4048,0
4051,0
4054,0
4065,1
4066,0
4067,1
4071,0
4072,0
4077,0
4084,0
4087,1
4102,0
4108,0
4109,0
4114,0
4117,0
4139,1
4163,1
4164,0
4168,0
4183,0
4186,1
4188,0
4190,0
4202,1
4203,1
4205,0
4209,0
4218,0
4224,0
4234,0
4248,0
4253,0
4254,0
4257,0
4262,1
4264,1
4269,1
4271,0
4276,0
4284,0
4286,0
4287,0
4290,0
4294,0
4295,1
4296,0
4297,0
4326,0
4332,1
4340,0
4342,0
4344,0
4357,1
4365,0
4377,0
4379,0
4385,1
4388,1
4390,0
4394,0
4397,0
4400,0
4402,0
4413,0
4414,0
4421,0
4422,0
4435,1
4442,0
4449,0
4456,0
4458,0
4459,1
4462,0
4473,1
4483,1
4485,1
4489,1
4492,0
4494,0
4496,0
4503,0
4504,0
4505,0
4509,0
4510,0
4511,0
4523,0
4526,0
4533,0
4534,0
4536,0
4538,0
4542,0
4553,0
4556,0
4562,0
4574,0
4580,0
4585,1
4594,0
4596,0
4597,0
4598,0
4600,0
4604,1
4611,1
4629,0
4631,0
4633,0
4640,0
4641,0
4645,1
4649,0
4654,0
4656,1
4665,0
4666,0
4671,0
4679,0
4685,0
4703,1
4706,0
4708,0
4714,0
4726,0
4735,0
4746,1
4749,0
4755,1
4781,0
4793,0
4795,0
4797,0
4800,0
4807,0
4811,0
4817,0
4819,0
4832,0
4854,0
4855,0
4857,1
4860,1
4862,0
4863,0
4876,1
4881,0
4882,1
4894,0
4899,0
4900,1
4901,0
4904,0
4908,0
4919,1
4921,0
4932,1
4944,0
4950,1
4952,0
4956,0
4959,1
4974,0
4975,1
5003,0
5008,0
5022,0
5023,0
5028,0
5036,0
5037,0
5042,0
5048,1
5049,0
5060,0
5066,0
5081,1
5088,1
5091,0
5103,0
5118,1
5123,1
5129,0
5134,1
5137,1
5139,1
5145,0
5151,0
5159,0
5171,0
5179,1
5180,0
5181,1
5186,0
5190,0
5202,0
5217,0
5232,0
5241,0
5243,0
5244,0
5245,1
5249,1
5251,0
5261,0
5267,0
5268,1
5274,0
5275,0
5291,1
5294,0
5304,1
5305,0
5307,1
5312,0
5313,0
5320,1
5340,1
5352,1
5355,0
5363,0
5367,0
5374,1
5381,0
5383,0
5385,1
5386,0
5394,0
5399,0
5405,0
5417,0
5420,1
5426,0
5432,0
5439,0
5441,1
5454,1
5455,0
5474,0
5477,1
5499,0
5504,0
5511,0
5520,1
5527,0
5531,0
5534,1
5539,0
5541,1
5548,0
5555,0
5561,1
5564,0
5567,0
5583,0
5585,1
5586,1
5598,1
5600,1
5602,0
5603,0
5605,0
5611,0
5615,0
5617,0
5623,0
5627,1
5628,0
5633,0
5644,0
5647,0
5649,1
5651,0
5652,0
5659,0
5660,0
5664,0
5667,1
5682,1
5684,0
5685,1
5686,0
5688,1
5692,0
5695,1
5698,1
5699,0
5705,0
5708,0
5714,0
5722,0
5727,0
5729,0
5731,1
5734,1
5737,0
5745,0
5749,0
5750,0
5751,0
5762,1
5769,1
5771,0
5782,0
5783,1
5789,0
5794,0
5803,1
5807,0
5812,0
5818,0
5819,0
5836,0
5837,0
5840,1
5844,0
5846,0
5862,0
5863,0
5864,0
5866,0
5867,0
5874,1
5887,0
5889,0
5895,0
5896,0
5897,0
5899,0
5904,1
5914,0
5925,1
5930,0
5932,0
5943,0
5949,0
5951,0
5953,0
5954,0
5963,1
5968,0
5970,0
5977,0
5988,1
5991,1
5996,0
6005,0
6006,0
6009,1
6019,0
6020,0
6023,1
6031,1
6034,1
6038,1
6041,0
6046,1
6047,1
6070,0
6071,0
6072,0
6078,0
6081,0
6082,0
6083,0
6094,0
6097,1
6100,1
6105,0
6116,0
6124,0
6131,0
6136,0
6137,0
6155,0
6163,0
6166,0
6171,0
6175,0
6180,1
6181,0
6191,0
6205,0
6206,1
6213,0
6218,0
6219,0
6228,0
6232,0
6241,0
6250,0
6254,0
6258,0
6269,0
6273,0
6274,0
6285,0
6287,0
6291,0
6295,1
6301,0
6304,0
6308,1
6311,0
6323,1
6328,1
6331,0
6339,0
6344,1
6348,1
6353,0
6354,0
6356,0
6359,0
6374,0
6378,0
6383,0
6386,1
6391,0
6394,1
6407,1
6414,1
6421,1
6427,0
6428,0
6443,1
6445,0
6453,0
6463,1
6466,0
6471,0
6472,0
6477,0
6492,0
6493,0
6500,1
6504,1
6511,0
6514,0
6517,0
6522,0
6532,0
6541,0
6549,0
6553,1
6557,0
6558,0
6562,0
6564,1
6570,0
6571,1
6580,1
6586,0
6588,0
6594,0
6595,0
6601,0
6605,1
6607,0
6612,1
6616,0
6623,0
6624,1
6628,1
6640,0
6641,0
6644,0
6648,0
6654,0
6659,1
6673,1
6677,0
6679,0
6682,1
6684,0
6685,1
6686,0
6692,0
6696,1
6697,0
6700,0
6702,0
6703,1
6704,0
6718,1
6722,1
6740,0
6747,0
6754,0
6760,0
6761,0
6768,1
6788,0
6791,0
6792,1
6813,0
6818,1
6819,0
6827,0
6832,0
6835,1
6840,0
6841,1
6843,0
6846,0
6849,0
6851,0
6852,1
6853,0
6863,0
6868,0
6873,0
6878,0
6879,0
6880,0
6884,1
6892,1
6899,0
6906,0
6912,0
6914,0
6919,0
6924,0
6934,0
6938,0
6940,1
6945,1
6948,0
6950,0
6958,0
6961,0
6964,0
6967,1
6984,1
6991,0
7025,0
7026,0
7033,1
7034,1
7039,0
7040,0
7055,0
7063,1
7065,0
7071,0
7076,0
7088,0
7089,0
7092,0
7095,0
7102,1
7106,1
7116,0
7122,0
7125,0
7127,0
7130,0
7141,0
7142,0
7146,0
7153,1
7155,0
7160,1
7161,0
7162,0
7163,0
7174,1
7175,0
7183,1
7191,0
7197,0
7207,0
7209,1
7212,0
7217,0
7230,0
7237,0
7255,0
7258,0
7263,0
7266,1
7278,0
7288,1
7290,0
7296,1
7298,0
7299,0
7307,0
7313,0
7334,0
7336,0
7351,1
7358,0
7362,0
7373,0
7376,0
7378,1
7383,1
7394,0
7395,0
7397,1
7398,0
7408,0
7411,1
7412,0
7416,0
7418,0
7422,0
7426,0
7429,0
7433,0
7440,0
7444,0
7449,1
7451,0
7455,0
7458,0
7463,0
7465,0
7469,1
7475,0
7476,1
7477,0
7483,0
7490,0
7510,0
7513,0
7518,0
7534,0
7536,0
7541,1
7545,0
7550,0
7551,0
7563,1
7569,0
7575,0
7581,1
7583,0
7594,0
7596,0
7597,0
7601,0
7606,0
7612,0
7620,0
7621,0
7622,0
7628,1
7631,0
7634,1
7635,0
7638,0
7647,0
7648,0
7652,0
7656,1
7658,1
7666,0
7680,0
7684,0
7686,0
7689,1
7693,0
7694,0
7695,1
7702,0
7709,0
7711,0
7713,0
7715,1
7717,1
7727,0
7732,0
7755,0
7760,1
7761,0
7769,0
7772,0
7775,0
7784,1
7791,0
7794,0
7795,0
7796,0
7801,0
7802,1
7807,0
7814,0
7816,0
7825,0
7828,1
7830,0
7831,0
7863,1
7874,0
7876,1
7882,1
7888,0
7892,0
7894,0
7899,0
7907,0
7913,1
7921,0
7923,0
7929,1
7940,0
7942,0
7943,1
7945,0
7946,0
7950,0
7962,0
7970,0
7972,0
7975,0
7976,1
7977,0
7978,0
7979,1
7981,0
7986,0
7988,1
8000,1
8001,1
8003,0
8005,0
8016,0
8023,0
8028,1
8029,0
8030,0
8032,1
8035,1
8062,1
8068,1
8070,1
8080,0
8083,1
8086,0
8090,1
8091,0
8120,1
8122,0
8125,1
8126,1
8131,0
8134,0
8155,0
8158,0
8163,0
8171,0
8184,0
8195,0
8206,0
8215,1
8219,0
8220,1
8229,1
8230,0
8235,1
8244,0
8248,0
8252,0
8262,0
8268,0
8274,1
8276,0
8287,0
8294,1
8295,0
8299,0
8300,0
8305,0
8316,0
8325,0
8331,0
8337,0
8340,0
8345,0
8350,0
8352,0
8355,0
8356,0
8361,0
8365,1
8372,0
8378,0
8381,0
8391,0
8392,0
8401,0
8403,0
8406,0
8410,0
8411,0
8413,0
8415,0
8422,0
8424,1
8432,1
8433,1
8435,0
8443,1
8450,0
8452,0
8454,1
8457,1
8463,0
8473,0
8478,0
8482,1
8492,0
8495,1
8496,0
8501,0
8513,0
8515,1
8516,0
8517,0
8530,0
8532,0
8537,0
8539,0
8549,0
8552,0
8556,1
8557,1
8562,1
8576,0
8590,0
8592,0
8593,0
8595,0
8597,0
8599,0
8602,0
8603,0
8604,0
8610,0
8621,0
8624,0
8631,0
8632,0
8637,0
8640,0
8646,0
8675,1
8684,0
8695,0
8700,1
8715,0
8718,0
8719,0
8721,0
8730,0
8732,0
8742,1
8744,1
8748,0
8757,0
8758,0
8768,0
8776,0
8784,0
8802,0
8806,0
8812,1
8828,1
8830,0
8831,1
8834,1
8836,1
8840,0
8847,0
8850,1
8859,0
8865,0
8866,0
8869,0
8881,1
8889,1
8894,1
8895,0
8898,1
8900,0
8908,0
8909,1
8912,1
8916,1
8918,0
8919,0
8921,0
8927,0
8931,1
8937,0
8944,0
8949,0
8951,0
8954,1
8955,0
8957,0
8959,0
8962,1
8964,0
8968,0
8969,1
8971,0
8975,0
8981,1
8983,0
8992,0
8999,0
9002,1
9003,1
9006,0
9014,1
9024,0
9025,0
9031,0
9035,0
9046,0
9059,1
9060,0
9086,1
9093,0
9098,1
9101,0
9117,1
9121,0
9133,0
9143,1
9144,1
9146,0
9149,0
9154,0
9160,0
9162,0
9164,0
9165,0
9170,0
9176,0
9181,0
9184,0
9193,0
9196,0
9202,0
9207,1
9208,0
9211,0
9212,0
9221,0
9223,0
9235,0
9236,0
9237,0
9240,1
9241,1
9249,0
9250,0
9251,0
9259,0
9260,0
9265,1
9266,0
9268,0
9270,0
9271,0
9273,0
9274,0
9282,1
9290,1
9291,0
9294,0
9310,0
9311,1
9317,1
9327,1
9335,0
9336,0
9342,0
9343,0
9345,0
9347,0
9350,0
9357,0
9363,0
9366,1
9376,0
9378,0
9385,0
9391,1
9401,1
9412,0
9413,0
9416,0
9418,0
9422,0
9423,0
9427,0
9452,1
9454,1
9457,0
9461,0
9472,1
9473,0
9474,0
9491,0
9492,0
9493,0
9495,1
9497,0
9499,0
9502,0
9507,1
9511,0
9512,0
9513,0
